test_id,rank,doc_id,score
Q1,1,01_raid_log_reference_guide.md,0.8268
Q1,2,01_raid_log_reference_guide.md,0.7166
Q1,3,01_raid_log_reference_guide.md,0.6796
Q1,4,07_vendor_contractor_risk_addendum.md,0.6599
Q2,1,02_raci_matrix_reference_guide.md,0.8659
Q2,2,02_raci_matrix_reference_guide.md,0.723
Q2,3,02_raci_matrix_reference_guide.md,0.6366
Q2,4,02_raci_matrix_reference_guide.md,0.6293
Q3,1,03_risk_probability_impact_framework.md,0.8209
Q3,2,03_risk_probability_impact_framework.md,0.7979
Q3,3,05_pmo_risk_management_policy.md,0.7899
Q3,4,03_risk_probability_impact_framework.md,0.7785
Q4,1,04_change_request_decision_model.md,0.8052
Q4,2,04_change_request_decision_model.md,0.7345
Q4,3,04_change_request_decision_model.md,0.6878
Q4,4,07_vendor_contractor_risk_addendum.md,0.6325
Q5,1,05_pmo_risk_management_policy.md,0.8343
Q5,2,07_vendor_contractor_risk_addendum.md,0.7714
Q5,3,03_risk_probability_impact_framework.md,0.741
Q5,4,08_budget_variance_escalation_policy.md,0.7299
Q6,1,06_pmo_escalation_communication_guide.md,0.8349
Q6,2,06_pmo_escalation_communication_guide.md,0.7153
Q6,3,05_pmo_risk_management_policy.md,0.6583
Q6,4,06_pmo_escalation_communication_guide.md,0.6447
Q7,1,07_vendor_contractor_risk_addendum.md,0.7858
Q7,2,07_vendor_contractor_risk_addendum.md,0.7662
Q7,3,08_budget_variance_escalation_policy.md,0.7474
Q7,4,07_vendor_contractor_risk_addendum.md,0.7329
Q8,1,09_schedule_slippage_response_playbook.md,0.8035
Q8,2,09_schedule_slippage_response_playbook.md,0.7755
Q8,3,09_schedule_slippage_response_playbook.md,0.6895
Q8,4,09_schedule_slippage_response_playbook.md,0.6581
Q9,1,02_raci_matrix_reference_guide.md,0.7824
Q9,2,01_raid_log_reference_guide.md,0.7507
Q9,3,02_raci_matrix_reference_guide.md,0.7279
Q9,4,01_raid_log_reference_guide.md,0.6945
Q10,1,08_budget_variance_escalation_policy.md,0.7981
Q10,2,07_vendor_contractor_risk_addendum.md,0.7908
Q10,3,07_vendor_contractor_risk_addendum.md,0.763
Q10,4,08_budget_variance_escalation_policy.md,0.7607
